,Year,Week,station_id,TempMax_C,TempMin_C,Rain_mm,Average_snow_deepth_10years,SnowAvgDepth_cm_roll3
434,2018,3,71032,1.6142857142857143,-4.371428571428572,2.2,,
441,2018,4,71032,2.3857142857142857,-3.414285714285714,12.2,,
448,2018,5,71032,-0.7571428571428571,-5.742857142857143,28.2,,
455,2018,6,71032,-0.7142857142857143,-5.471428571428571,13.600000000000001,,
462,2018,7,71032,-0.19999999999999998,-5.614285714285715,16.0,,
469,2018,8,71032,0.20000000000000004,-4.328571428571428,31.6,,
476,2018,9,71032,0.9,,0.0,,
483,2018,10,71032,-0.2285714285714285,-4.457142857142857,17.8,,
490,2018,11,71032,-2.3000000000000003,-6.8500000000000005,1.8,,
497,2018,12,71032,0.8857142857142858,-5.616666666666667,0.4,,
504,2018,13,71032,0.5800000000000001,-5.0,11.4,,
511,2018,14,71032,6.285714285714286,-1.1571428571428573,0.0,,
518,2018,15,71032,6.2,2.1,0.0,,
525,2019,1,71032,3.1571428571428575,0.25714285714285706,73.4,,
532,2019,2,71032,-0.7428571428571429,-6.828571428571428,3.6,,
539,2019,3,71032,3.6999999999999997,-4.442857142857143,0.4,,
546,2019,4,71032,3.585714285714286,-4.071428571428571,23.599999999999998,,
553,2019,5,71032,-0.6,-3.6999999999999997,56.2,,
560,2019,6,71032,-0.7714285714285715,-5.271428571428571,6.8,,
567,2019,7,71032,2.257142857142857,-2.914285714285714,10.600000000000001,,
574,2019,8,71032,2.6,-4.014285714285714,3.8000000000000003,,
581,2019,9,71032,-0.27142857142857135,-4.171428571428572,18.2,,
588,2019,10,71032,0.35714285714285715,-5.614285714285714,3.6,,
595,2019,11,71032,-0.12857142857142856,-5.0,15.8,,
602,2019,12,71032,2.1285714285714286,-6.271428571428571,3.0,,
609,2019,13,71032,4.1,-1.3666666666666665,14.6,,
616,2019,14,71032,3.3714285714285714,-3.4285714285714284,6.8,,
623,2019,15,71032,5.8,1.0,0.0,,
630,2020,1,71032,4.085714285714285,-2.2857142857142856,44.8,,
637,2020,2,71032,2.6,-1.7714285714285716,62.2,,
644,2020,3,71032,1.1,-5.228571428571429,1.0,,
651,2020,4,71032,0.4142857142857143,-4.285714285714286,27.599999999999998,,
658,2020,5,71032,1.5714285714285714,-2.9428571428571426,30.2,,
665,2020,6,71032,0.05714285714285714,-5.028571428571429,33.8,,
672,2020,7,71032,2.642857142857143,-2.2714285714285714,15.4,,
679,2020,8,71032,3.371428571428571,-2.4714285714285715,26.400000000000002,,
686,2020,9,71032,-0.7999999999999999,-5.314285714285715,39.0,,
693,2020,10,71032,1.5714285714285714,-2.4,36.2,,
700,2020,11,71032,-2.6,-5.1571428571428575,28.0,,
707,2020,12,71032,0.38571428571428573,-5.228571428571429,5.3999999999999995,,
714,2020,13,71032,4.814285714285715,-2.2285714285714286,0.7999999999999999,,
721,2020,14,71032,6.428571428571429,-0.042857142857142864,17.2,,
728,2020,15,71032,7.9,-0.6,0.0,,
735,2021,1,71032,-0.18333333333333335,-3.3666666666666667,47.2,,
742,2021,2,71032,6.344131569286608e-17,-4.385714285714285,12.200000000000001,,
749,2021,3,71032,1.1285714285714286,-4.0285714285714285,98.4,,
756,2021,4,71032,-0.04285714285714289,-3.6142857142857143,6.800000000000001,,
763,2021,5,71032,0.5857142857142856,-4.8999999999999995,0.0,,
770,2021,6,71032,0.0,-2.725,30.2,,
777,2021,7,71032,,,0.0,,
784,2021,8,71032,-2.1,-3.9,0.0,,
791,2021,9,71032,1.6428571428571428,-4.1,4.0,,
798,2021,10,71032,,-1.6,0.0,,
805,2021,11,71032,1.8200000000000003,-1.3499999999999999,30.799999999999997,,
812,2021,12,71032,0.9571428571428572,-4.2,12.399999999999999,,
819,2021,13,71032,4.2,-1.1428571428571428,118.6,,
826,2021,14,71032,3.142857142857143,-1.5285714285714285,4.8,,
833,2021,15,71032,4.1,-6.8,0.0,,
840,2022,1,71032,-0.6857142857142857,-4.685714285714285,1.0,,
847,2022,2,71032,1.6999999999999997,-3.3857142857142857,27.2,,
854,2022,3,71032,1.5142857142857142,-3.5142857142857147,9.8,,
861,2022,4,71032,1.4285714285714286,-4.571428571428571,2.6,,
868,2022,5,71032,-0.9857142857142858,-5.371428571428572,2.1999999999999997,,
875,2022,6,71032,-1.4142857142857144,-6.3999999999999995,8.4,,
882,2022,7,71032,1.1,-3.7285714285714286,22.8,,
889,2022,8,71032,0.2571428571428572,-5.114285714285714,33.6,,
896,2022,9,71032,0.09999999999999999,-4.285714285714286,132.79999999999998,,
903,2022,10,71032,-0.07142857142857142,-3.5142857142857147,24.8,,
910,2022,11,71032,-0.5285714285714286,-4.514285714285714,44.4,,
917,2022,12,71032,2.557142857142857,-3.4,24.6,,
924,2022,13,71032,3.442857142857143,-5.357142857142857,0.6000000000000001,,
931,2022,14,71032,1.5714285714285714,-3.2714285714285714,35.4,,
938,2022,15,71032,3.3,-3.5,0.0,,
945,2023,1,71032,0.8571428571428571,-3.085714285714286,51.6,,
952,2023,2,71032,-0.9142857142857143,-4.185714285714286,5.4,,
959,2023,3,71032,-1.657142857142857,-4.571428571428571,26.2,,
966,2023,4,71032,0.7285714285714285,-3.5142857142857147,21.0,,
973,2023,5,71032,0.6714285714285715,-3.014285714285714,12.0,,
980,2023,6,71032,3.2142857142857144,-3.357142857142857,1.6,,
987,2023,7,71032,3.014285714285714,-4.114285714285715,1.2,,
994,2023,8,71032,3.557142857142857,-1.0714285714285714,8.0,,
1001,2023,9,71032,3.983333333333333,-2.1142857142857143,36.0,,
1008,2023,10,71032,1.0285714285714285,-4.571428571428571,7.4,,
1015,2023,11,71032,3.6999999999999997,-2.2,23.799999999999997,,
1022,2023,12,71032,4.3500000000000005,-0.25999999999999995,21.4,,
1029,2023,13,71032,5.9,-5.15,6.0,,
1036,2023,14,71032,,,37.0,,
1043,2023,15,71032,,,0.0,,
1050,2024,1,71032,1.757142857142857,-3.2714285714285714,38.99999999999999,,
1057,2024,2,71032,-0.7000000000000001,-6.071428571428571,1.2000000000000002,,
1064,2024,3,71032,0.37142857142857144,-3.557142857142857,13.6,,
1071,2024,4,71032,-0.7142857142857143,-7.8,18.2,,
1078,2024,5,71032,2.2285714285714286,-2.4714285714285715,8.6,,
1085,2024,6,71032,-1.6285714285714286,-5.285714285714286,16.4,,
1092,2024,7,71032,0.6714285714285714,-4.1571428571428575,24.4,,
1099,2024,8,71032,-0.0571428571428571,-7.542857142857143,4.6,,
1106,2024,9,71032,2.3428571428571425,-4.371428571428572,0.0,,
1113,2024,10,71032,4.328571428571428,-0.8428571428571429,17.6,,
1120,2024,11,71032,3.5,-0.7000000000000001,29.8,,
1127,2024,12,71032,2.5,-1.1714285714285713,69.4,,
1134,2024,13,71032,4.614285714285714,-0.7000000000000001,23.6,,
1141,2024,14,71032,5.857142857142857,-1.2428571428571427,11.4,,
1148,2024,15,71032,-0.6,-8.2,6.2,,
1155,2025,1,71032,-0.7857142857142856,-5.3,2.2,,
1162,2025,2,71032,3.9714285714285715,-1.9285714285714286,1.7999999999999998,,
1169,2025,3,71032,0.6166666666666667,-3.5142857142857147,12.600000000000001,,
1176,2025,4,71032,1.3714285714285717,-3.5571428571428574,20.2,,
1183,2025,5,71032,-0.9285714285714286,-3.9714285714285715,15.8,,
1190,2025,6,71032,-1.957142857142857,-6.1000000000000005,6.6000000000000005,,
1197,2025,7,71032,-0.375,-5.66,27.0,,
1,2014,1,71075,6.328571428571428,-1.5857142857142856,62.0,,
8,2014,2,71075,5.257142857142857,-1.8571428571428572,13.799999999999999,,
15,2014,3,71075,0.8857142857142856,-2.457142857142857,220.6,,
22,2014,4,71075,2.9428571428571426,-2.457142857142857,53.8,,
29,2014,5,71075,1.1857142857142857,-3.757142857142857,39.0,,
36,2014,6,71075,1.7857142857142858,-4.357142857142857,51.4,,
43,2014,7,71075,5.085714285714286,-4.357142857142857,5.0,,
50,2014,8,71075,1.7714285714285716,-3.6571428571428575,58.199999999999996,,
57,2014,9,71075,5.2,-5.542857142857143,2.6,,
64,2014,10,71075,4.042857142857143,-7.957142857142857,10.8,,
71,2014,11,71075,5.628571428571428,-3.257142857142857,68.4,,
78,2014,12,71075,6.528571428571428,-3.685714285714286,32.4,,
85,2014,13,71075,4.7,-4.3,35.2,,
92,2014,14,71075,6.885714285714286,-0.6428571428571429,49.0,,
99,2014,15,71075,7.5,-2.8,0.0,,
106,2015,1,71075,9.885714285714286,-3.5714285714285716,1.5999999999999999,,
113,2015,2,71075,3.814285714285714,-2.2714285714285714,87.2,,
120,2015,3,71075,9.014285714285714,-3.2857142857142856,0.0,,
127,2015,4,71075,4.642857142857143,-6.728571428571429,6.800000000000001,,
134,2015,5,71075,2.642857142857143,-4.5,55.4,,
141,2015,6,71075,0.7714285714285715,-6.2,33.6,,
148,2015,7,71075,1.2571428571428573,-2.7285714285714286,102.60000000000001,,
155,2015,8,71075,1.8142857142857143,-3.3000000000000003,90.6,,
162,2015,9,71075,1.0285714285714285,-7.028571428571429,20.8,,
169,2015,10,71075,3.2714285714285714,-3.0857142857142854,10.8,,
176,2015,11,71075,5.585714285714286,-2.9142857142857146,23.2,,
183,2015,12,71075,3.1000000000000005,-2.5714285714285716,92.8,,
190,2015,13,71075,4.914285714285714,-3.628571428571429,35.6,,
197,2015,14,71075,8.442857142857141,-1.4142857142857144,5.8,,
204,2015,15,71075,4.7,4.3,9.2,,
211,2016,1,71075,5.700000000000001,-2.8285714285714287,97.2,,
218,2016,2,71075,4.142857142857143,0.9714285714285715,127.4,,
225,2016,3,71075,1.3142857142857143,-5.6000000000000005,61.400000000000006,,
232,2016,4,71075,3.9857142857142853,-2.4428571428571426,34.6,,
239,2016,5,71075,1.7142857142857142,-1.4000000000000001,109.4,,
246,2016,6,71075,8.280000000000001,-1.942857142857143,25.8,,
253,2016,7,71075,1.5285714285714285,-2.857142857142857,243.8,,
260,2016,8,71075,2.1285714285714286,-3.042857142857143,30.200000000000003,,
267,2016,9,71075,3.242857142857143,-4.6,31.200000000000003,,
274,2016,10,71075,4.771428571428571,-2.7142857142857144,7.4,,
281,2016,11,71075,3.0,-2.0571428571428574,51.800000000000004,,
288,2016,12,71075,4.442857142857142,-4.0,51.199999999999996,,
295,2016,13,71075,8.4,-0.5,80.6,,
302,2016,14,71075,7.771428571428571,0.7857142857142857,54.0,,
309,2016,15,71075,1.2,-2.0,52.4,,
316,2017,1,71075,9.428571428571429,-2.5714285714285716,0.8,,
323,2017,2,71075,9.885714285714286,-4.228571428571429,0.0,,
330,2017,3,71075,2.857142857142857,-4.8999999999999995,1.5999999999999999,,
337,2017,4,71075,2.8142857142857145,-4.914285714285714,49.6,,
344,2017,5,71075,0.7571428571428571,-5.642857142857143,5.8,,
351,2017,6,71075,1.5,-4.242857142857143,35.6,,
358,2017,7,71075,2.0571428571428574,-4.228571428571429,40.0,,
365,2017,8,71075,3.8428571428571425,-3.557142857142857,23.4,,
372,2017,9,71075,1.7571428571428573,-2.742857142857143,91.2,,
379,2017,10,71075,2.5714285714285716,-0.12857142857142853,206.4,,
386,2017,11,71075,0.7857142857142857,-4.928571428571429,43.6,,
393,2017,12,71075,2.6,-8.171428571428573,7.4,,
400,2017,13,71075,2.9285714285714284,-3.9857142857142853,54.4,,
407,2017,14,71075,5.071428571428571,-1.0714285714285714,35.0,,
414,2017,15,71075,1.2,-3.5,8.6,,
421,2018,1,71075,2.9714285714285715,-2.2285714285714286,86.4,,
428,2018,2,71075,1.7714285714285716,-5.242857142857143,53.0,,
435,2018,3,71075,4.785714285714286,-4.914285714285714,7.199999999999999,,
442,2018,4,71075,4.6571428571428575,-3.4857142857142853,20.2,,
449,2018,5,71075,2.457142857142857,-6.142857142857143,53.4,,
456,2018,6,71075,1.8714285714285714,-5.271428571428571,29.0,,
463,2018,7,71075,2.1,-5.014285714285714,33.2,,
470,2018,8,71075,3.085714285714286,-2.7857142857142856,50.8,,
477,2018,9,71075,2.2142857142857144,-3.057142857142857,103.4,,
484,2018,10,71075,2.3285714285714287,-2.7285714285714286,60.2,,
491,2018,11,71075,0.9142857142857144,-5.957142857142857,46.6,,
498,2018,12,71075,3.7714285714285714,-6.685714285714285,2.6,,
505,2018,13,71075,4.371428571428572,-3.3857142857142857,68.4,,
512,2018,14,71075,8.385714285714286,-0.0714285714285715,0.0,,
519,2018,15,71075,9.9,3.6,0.0,,
526,2019,1,71075,5.328571428571428,1.6142857142857143,67.2,,
533,2019,2,71075,2.6285714285714286,-6.828571428571428,2.4,,
540,2019,3,71075,6.8428571428571425,-4.628571428571428,1.2000000000000002,,
547,2019,4,71075,5.557142857142857,-3.6571428571428575,34.4,,
554,2019,5,71075,1.4857142857142858,-2.4857142857142853,134.2,,
561,2019,6,71075,2.5428571428571423,-3.3000000000000003,41.8,,
568,2019,7,71075,4.285714285714286,-2.0285714285714285,28.0,,
575,2019,8,71075,5.685714285714285,-4.771428571428571,4.6,,
582,2019,9,71075,1.8000000000000003,-4.485714285714286,91.2,,
589,2019,10,71075,3.557142857142857,-5.1000000000000005,25.6,,
596,2019,11,71075,3.5285714285714285,-3.1714285714285713,74.6,,
603,2019,12,71075,4.442857142857143,-6.042857142857143,4.6000000000000005,,
610,2019,13,71075,6.385714285714286,-0.6142857142857144,42.4,,
617,2019,14,71075,6.914285714285714,-2.8285714285714287,25.599999999999998,,
624,2019,15,71075,8.7,2.5,0.0,,
631,2020,1,71075,6.0,-2.7714285714285714,51.8,,
638,2020,2,71075,3.9714285714285715,-1.5999999999999999,75.6,,
645,2020,3,71075,4.214285714285714,-4.071428571428571,4.2,,
652,2020,4,71075,2.957142857142857,-3.2857142857142856,47.8,,
659,2020,5,71075,3.9714285714285715,-4.128571428571428,76.0,,
666,2020,6,71075,2.8000000000000003,-4.0,34.4,,
673,2020,7,71075,5.571428571428571,-3.557142857142857,32.4,,
680,2020,8,71075,6.428571428571429,-3.085714285714286,37.8,,
687,2020,9,71075,1.3857142857142857,-4.357142857142857,109.8,,
694,2020,10,71075,4.285714285714286,-0.8571428571428571,34.0,,
701,2020,11,71075,-0.12857142857142856,-3.8714285714285714,128.2,,
708,2020,12,71075,4.428571428571429,-3.857142857142857,11.200000000000001,,
715,2020,13,71075,7.228571428571429,-1.6428571428571428,0.6000000000000001,,
722,2020,14,71075,8.8,1.5142857142857142,24.6,,
729,2020,15,71075,12.0,-2.2,0.0,,
736,2021,1,71075,3.0714285714285716,-2.085714285714286,114.80000000000001,,
743,2021,2,71075,3.1285714285714286,-3.814285714285714,15.6,,
750,2021,3,71075,3.685714285714286,-2.642857142857143,149.4,,
757,2021,4,71075,2.4714285714285715,-3.257142857142857,29.8,,
764,2021,5,71075,3.8714285714285714,-5.571428571428571,0.0,,
771,2021,6,71075,0.6714285714285715,-2.814285714285714,135.6,,
778,2021,7,71075,0.9142857142857144,-4.528571428571429,113.4,,
785,2021,8,71075,2.5285714285714285,-2.857142857142857,88.4,,
792,2021,9,71075,5.085714285714286,-2.1,22.2,,
799,2021,10,71075,3.2428571428571433,-3.042857142857143,52.2,,
806,2021,11,71075,5.242857142857143,-0.8714285714285713,51.0,,
813,2021,12,71075,3.0142857142857147,-2.5714285714285716,34.0,,
820,2021,13,71075,7.428571428571429,1.1857142857142855,80.8,,
827,2021,14,71075,5.8999999999999995,-0.39999999999999997,15.600000000000001,,
834,2021,15,71075,6.5,-6.7,0.0,,
841,2022,1,71075,2.4285714285714284,-4.042857142857143,9.0,,
848,2022,2,71075,4.357142857142857,-3.6,47.8,,
855,2022,3,71075,3.3428571428571425,-2.5142857142857147,14.2,,
862,2022,4,71075,1.842857142857143,-2.9285714285714284,12.600000000000001,,
869,2022,5,71075,1.9714285714285713,-5.6571428571428575,5.0,,
876,2022,6,71075,1.2857142857142858,-6.642857142857143,61.4,,
883,2022,7,71075,3.8714285714285714,-2.1714285714285713,20.8,,
890,2022,8,71075,2.7714285714285714,-3.357142857142857,93.60000000000001,,
897,2022,9,71075,2.757142857142857,-3.8285714285714287,183.8,,
904,2022,10,71075,2.685714285714286,-2.314285714285714,86.2,,
911,2022,11,71075,1.8857142857142857,-3.5,99.8,,
918,2022,12,71075,7.1000000000000005,-2.2,22.200000000000003,,
925,2022,13,71075,5.314285714285715,-4.957142857142857,4.2,,
932,2022,14,71075,4.171428571428572,-2.442857142857143,25.8,,
939,2022,15,71075,6.8,0.4,0.4,,
946,2023,1,71075,3.0,-2.2,98.39999999999999,,
953,2023,2,71075,2.0142857142857147,-3.9285714285714284,29.0,,
960,2023,3,71075,0.2714285714285714,-2.685714285714286,114.0,,
967,2023,4,71075,4.542857142857143,-1.6571428571428573,29.400000000000002,,
974,2023,5,71075,3.0142857142857147,-1.4285714285714286,79.4,,
981,2023,6,71075,5.142857142857143,-2.642857142857143,1.8,,
988,2023,7,71075,5.7,-4.628571428571428,3.6,,
995,2023,8,71075,5.571428571428571,0.19999999999999998,32.8,,
1002,2023,9,71075,6.585714285714286,-2.0571428571428574,27.4,,
1009,2023,10,71075,4.057142857142857,-4.5,10.0,,
1016,2023,11,71075,6.814285714285714,-2.0285714285714285,48.0,,
1023,2023,12,71075,7.514285714285714,-0.17142857142857146,25.6,,
1030,2023,13,71075,9.814285714285715,-1.9285714285714286,10.399999999999999,,
1037,2023,14,71075,7.957142857142857,-2.7142857142857144,54.6,,
1044,2023,15,71075,13.2,8.0,0.0,,
1051,2024,1,71075,3.6571428571428575,-2.9,105.2,,
1058,2024,2,71075,2.1285714285714286,-6.385714285714286,5.4,,
1065,2024,3,71075,3.142857142857143,-2.457142857142857,27.2,,
1072,2024,4,71075,3.085714285714286,-6.6571428571428575,56.400000000000006,,
1079,2024,5,71075,4.728571428571429,-2.414285714285714,3.8000000000000003,,
1086,2024,6,71075,0.5857142857142857,-4.0285714285714285,70.2,,
1093,2024,7,71075,3.6,-1.5142857142857142,77.6,,
1100,2024,8,71075,3.257142857142857,-7.085714285714286,12.200000000000001,,
1107,2024,9,71075,4.728571428571429,-4.457142857142857,0.0,,
1114,2024,10,71075,7.771428571428572,-0.11428571428571428,16.2,,
1121,2024,11,71075,6.3,0.08571428571428578,29.4,,
1128,2024,12,71075,4.585714285714286,0.6714285714285715,92.79999999999998,,
1135,2024,13,71075,7.985714285714286,0.6714285714285715,41.0,,
1142,2024,14,71075,8.971428571428572,-0.7285714285714285,5.4,,
1149,2024,15,71075,3.9,-6.2,12.6,,
1156,2025,1,71075,1.9857142857142858,-4.5,21.799999999999997,,
1163,2025,2,71075,6.114285714285714,-4.0,11.2,,
1170,2025,3,71075,3.4857142857142853,-3.8285714285714287,148.6,,
1177,2025,4,71075,3.957142857142857,-2.414285714285714,37.6,,
1184,2025,5,71075,1.4000000000000001,-2.442857142857143,86.2,,
1191,2025,6,71075,1.7428571428571427,-4.757142857142857,22.6,,
1198,2025,7,71075,2.442857142857143,-3.685714285714286,86.2,,
1204,2025,8,71075,0.9,-1.1,49.0,,
2,2014,1,72161,6.828571428571428,1.5714285714285714,29.200000000000003,,
9,2014,2,72161,6.714285714285714,1.5285714285714285,14.4,,
16,2014,3,72161,1.6714285714285713,-0.8571428571428571,109.0,,
23,2014,4,72161,3.142857142857143,-0.7571428571428571,60.2,,
30,2014,5,72161,1.2714285714285716,-2.257142857142857,44.2,,
37,2014,6,72161,2.7857142857142856,-1.6142857142857143,30.8,,
44,2014,7,72161,5.528571428571429,0.8857142857142858,5.0,,
51,2014,8,72161,3.3714285714285714,-1.0285714285714287,14.799999999999999,,
58,2014,9,72161,4.714285714285714,-0.8428571428571429,0.0,,
65,2014,10,72161,5.8428571428571425,-2.2857142857142856,2.0,,
72,2014,11,72161,8.614285714285714,1.1,6.0,,
79,2014,12,72161,9.057142857142859,0.9571428571428572,1.2,,
86,2014,13,72161,8.4,-0.31428571428571433,6.4,,
93,2014,14,72161,8.885714285714284,2.2714285714285714,25.2,,
100,2014,15,72161,12.4,3.3,0.0,,
107,2015,1,72161,9.028571428571428,2.1714285714285713,1.8,,
114,2015,2,72161,5.5,0.7000000000000001,24.8,,
121,2015,3,72161,8.257142857142856,2.2285714285714286,3.4000000000000004,,
128,2015,4,72161,2.7857142857142856,-3.357142857142857,7.2,,
135,2015,5,72161,3.5285714285714285,-1.5285714285714285,46.4,,
142,2015,6,72161,1.8571428571428572,-2.357142857142857,26.6,,
149,2015,7,72161,2.357142857142857,-0.0714285714285715,58.8,,
156,2015,8,72161,3.1999999999999997,-1.0,70.0,,
163,2015,9,72161,1.4714285714285715,-3.0714285714285716,3.0,,
170,2015,10,72161,2.857142857142857,-0.8857142857142858,9.6,,
177,2015,11,72161,7.057142857142857,0.6428571428571427,27.6,,
184,2015,12,72161,5.028571428571429,-0.42857142857142855,39.199999999999996,,
191,2015,13,72161,6.971428571428571,-0.12857142857142856,22.599999999999998,,
198,2015,14,72161,10.885714285714286,2.1999999999999997,15.6,,
205,2015,15,72161,6.2,5.7,1.0,,
212,2016,1,72161,6.357142857142857,0.8285714285714285,61.0,,
219,2016,2,72161,5.742857142857143,2.442857142857143,85.6,,
226,2016,3,72161,1.4428571428571428,-2.6999999999999997,34.199999999999996,,
233,2016,4,72161,2.7571428571428567,-1.5285714285714285,20.6,,
240,2016,5,72161,3.1714285714285713,0.2285714285714285,32.4,,
247,2016,6,72161,7.685714285714286,0.8,17.2,,
254,2016,7,72161,2.4,-1.0,56.0,,
261,2016,8,72161,2.242857142857143,-1.1142857142857143,30.400000000000002,,
268,2016,9,72161,4.857142857142857,-0.29999999999999993,8.4,,
275,2016,10,72161,5.871428571428572,-0.0142857142857143,2.4,,
282,2016,11,72161,4.371428571428571,0.028571428571428612,38.199999999999996,,
289,2016,12,72161,5.8999999999999995,-0.08571428571428566,29.6,,
296,2016,13,72161,10.228571428571428,3.1142857142857143,53.0,,
303,2016,14,72161,7.871428571428571,3.314285714285714,96.2,,
310,2016,15,72161,2.2,-0.9,21.6,,
317,2017,1,72161,8.828571428571427,2.585714285714286,0.0,,
324,2017,2,72161,9.214285714285714,2.9285714285714284,0.0,,
331,2017,3,72161,3.2142857142857144,-0.7857142857142857,1.4,,
338,2017,4,72161,3.9857142857142853,-1.0857142857142856,68.0,,
345,2017,5,72161,2.185714285714286,-1.657142857142857,22.6,,
352,2017,6,72161,1.6714285714285713,-1.4285714285714286,45.800000000000004,,
359,2017,7,72161,3.4,-1.2428571428571427,24.4,,
366,2017,8,72161,5.057142857142857,-0.6285714285714287,27.0,,
373,2017,9,72161,1.9714285714285715,-1.4142857142857144,76.0,,
380,2017,10,72161,4.642857142857143,1.2,83.2,,
387,2017,11,72161,3.2857142857142856,-2.357142857142857,27.4,,
394,2017,12,72161,4.0,-2.9571428571428577,8.2,,
401,2017,13,72161,3.642857142857143,-1.0285714285714285,14.200000000000001,,
408,2017,14,72161,5.957142857142857,0.6714285714285715,11.2,,
415,2017,15,72161,2.7,-3.1,14.2,,
422,2018,1,72161,3.7714285714285714,0.7000000000000001,72.0,,
429,2018,2,72161,3.228571428571428,-1.2,32.6,,
436,2018,3,72161,5.3428571428571425,-0.31428571428571433,8.0,,
443,2018,4,72161,5.457142857142857,0.4142857142857142,5.4,,
450,2018,5,72161,2.185714285714286,-2.2857142857142856,61.6,,
457,2018,6,72161,2.6714285714285713,-2.9285714285714284,11.4,,
464,2018,7,72161,2.1571428571428575,-1.9857142857142858,9.2,,
471,2018,8,72161,4.242857142857143,-0.11428571428571425,18.200000000000003,,
478,2018,9,72161,3.057142857142857,-1.5142857142857142,69.8,,
485,2018,10,72161,2.442857142857143,-0.9000000000000001,29.0,,
