,Bureau of Meteorology station number,Year,Month,Day,Maximum temperature (Degree C),Minimum temperature (Degree C),Rainfall amount (millimetres),date
2426,71075,2016,8,23,4.4,-2.9,2.0,2016-08-23
2427,71075,2016,8,24,2.0,-6.8,0.0,2016-08-24
2428,71075,2016,8,25,0.2,-8.3,1.2,2016-08-25
2429,71075,2016,8,26,2.0,-6.5,4.6,2016-08-26
2430,71075,2016,8,27,2.6,-8.0,0.0,2016-08-27
2431,71075,2016,8,28,3.3,-3.2,0.0,2016-08-28
2432,71075,2016,8,29,8.6,-5.3,0.0,2016-08-29
2433,71075,2016,8,30,8.6,-1.0,0.0,2016-08-30
2434,71075,2016,8,31,5.8,4.3,45.4,2016-08-31
2435,71075,2016,9,1,5.4,1.1,15.4,2016-09-01
2436,71075,2016,9,2,3.6,-2.8,0.2,2016-09-02
2437,71075,2016,9,3,3.3,-0.1,51.4,2016-09-03
2438,71075,2016,9,4,10.2,-1.2,13.6,2016-09-04
2439,71075,2016,9,5,12.9,-2.0,0.0,2016-09-05
2440,71075,2016,9,6,11.0,1.9,0.0,2016-09-06
2441,71075,2016,9,7,12.4,-0.4,0.0,2016-09-07
2442,71075,2016,9,8,8.7,3.8,0.0,2016-09-08
2443,71075,2016,9,9,7.1,4.3,0.0,2016-09-09
2444,71075,2016,9,10,5.5,2.3,29.2,2016-09-10
2445,71075,2016,9,11,7.4,-1.4,22.2,2016-09-11
2446,71075,2016,9,12,8.8,-3.5,0.0,2016-09-12
2447,71075,2016,9,13,9.5,-2.4,0.0,2016-09-13
2448,71075,2016,9,14,7.4,2.4,2.6,2016-09-14
2449,71075,2016,9,15,1.2,-2.0,52.4,2016-09-15
2450,71075,2016,9,16,2.3,-0.9,22.4,2016-09-16
2451,71075,2016,9,17,5.3,-1.5,0.2,2016-09-17
2452,71075,2016,9,18,3.0,1.6,0.0,2016-09-18
2453,71075,2016,9,19,4.9,-2.2,15.0,2016-09-19
2454,71075,2016,9,20,7.3,-4.2,0.0,2016-09-20
2455,71075,2016,9,21,8.8,1.7,6.2,2016-09-21
2456,71075,2016,9,22,4.2,0.4,7.8,2016-09-22
2716,71075,2017,6,9,3.3,-3.6,0.8,2017-06-09
2717,71075,2017,6,10,10.4,-3.6,0.0,2017-06-10
2718,71075,2017,6,11,8.8,-3.6,0.0,2017-06-11
2719,71075,2017,6,12,7.6,0.2,0.0,2017-06-12
2720,71075,2017,6,13,13.5,-3.8,0.0,2017-06-13
2721,71075,2017,6,14,12.2,-2.8,0.0,2017-06-14
2722,71075,2017,6,15,10.2,-0.8,0.0,2017-06-15
2723,71075,2017,6,16,9.6,-4.5,0.0,2017-06-16
2724,71075,2017,6,17,8.1,-2.1,0.0,2017-06-17
2725,71075,2017,6,18,11.0,-4.6,0.0,2017-06-18
2726,71075,2017,6,19,13.9,-5.2,0.0,2017-06-19
2727,71075,2017,6,20,10.4,-3.8,0.0,2017-06-20
2728,71075,2017,6,21,10.4,-4.5,0.0,2017-06-21
2729,71075,2017,6,22,5.8,-4.9,0.0,2017-06-22
2730,71075,2017,6,23,3.3,-4.3,0.0,2017-06-23
2731,71075,2017,6,24,1.3,-2.0,0.2,2017-06-24
2732,71075,2017,6,25,0.0,-5.3,0.0,2017-06-25
2733,71075,2017,6,26,2.8,-2.9,1.2,2017-06-26
2734,71075,2017,6,27,7.5,-9.6,0.2,2017-06-27
2735,71075,2017,6,28,3.9,-2.0,0.0,2017-06-28
2736,71075,2017,6,29,1.2,-8.2,0.0,2017-06-29
2737,71075,2017,6,30,1.4,-7.0,0.2,2017-06-30
2738,71075,2017,7,1,5.7,-9.6,1.0,2017-07-01
2739,71075,2017,7,2,7.9,-7.5,0.2,2017-07-02
2740,71075,2017,7,3,3.1,-5.0,0.2,2017-07-03
2741,71075,2017,7,4,1.5,-1.4,17.2,2017-07-04
2742,71075,2017,7,5,0.8,-0.4,25.8,2017-07-05
2743,71075,2017,7,6,-0.7,-3.5,5.0,2017-07-06
2744,71075,2017,7,7,-1.2,-3.8,2.6,2017-07-07
2745,71075,2017,7,8,0.2,-3.3,0.0,2017-07-08
2746,71075,2017,7,9,-0.9,-3.9,0.2,2017-07-09
2747,71075,2017,7,10,-0.5,-3.3,0.0,2017-07-10
2748,71075,2017,7,11,2.5,-3.4,0.0,2017-07-11
2749,71075,2017,7,12,3.9,-11.6,1.0,2017-07-12
2750,71075,2017,7,13,1.3,-10.2,2.0,2017-07-13
2751,71075,2017,7,14,1.4,-1.4,0.8,2017-07-14
2752,71075,2017,7,15,-0.9,-2.6,3.8,2017-07-15
2753,71075,2017,7,16,6.5,-12.1,2.2,2017-07-16
2754,71075,2017,7,17,2.8,-6.2,3.0,2017-07-17
2755,71075,2017,7,18,0.6,-0.9,10.0,2017-07-18
2756,71075,2017,7,19,1.6,-2.7,4.8,2017-07-19
2757,71075,2017,7,20,-1.5,-3.8,11.0,2017-07-20
2758,71075,2017,7,21,3.3,-6.6,0.0,2017-07-21
2759,71075,2017,7,22,3.2,-7.8,3.6,2017-07-22
2760,71075,2017,7,23,0.7,-2.5,0.0,2017-07-23
2761,71075,2017,7,24,0.7,-1.3,0.0,2017-07-24
2762,71075,2017,7,25,2.7,-1.5,6.6,2017-07-25
2763,71075,2017,7,26,0.5,-0.7,19.6,2017-07-26
2764,71075,2017,7,27,3.3,-9.2,10.2,2017-07-27
2765,71075,2017,7,28,3.9,-1.8,12.6,2017-07-28
2766,71075,2017,7,29,7.1,-2.1,0.0,2017-07-29
2767,71075,2017,7,30,2.7,2.5,0.6,2017-07-30
2768,71075,2017,7,31,2.0,-0.1,0.0,2017-07-31
2769,71075,2017,8,1,4.6,-4.9,9.2,2017-08-01
2770,71075,2017,8,2,6.0,-9.5,1.0,2017-08-02
2771,71075,2017,8,3,0.6,-9.0,0.0,2017-08-03
2772,71075,2017,8,4,0.0,-1.4,5.2,2017-08-04
2773,71075,2017,8,5,-1.0,-3.4,21.2,2017-08-05
2774,71075,2017,8,6,-0.2,-2.9,4.6,2017-08-06
2775,71075,2017,8,7,-1.2,-3.6,48.0,2017-08-07
2776,71075,2017,8,8,2.0,-4.2,12.0,2017-08-08
2777,71075,2017,8,9,6.4,-2.7,0.2,2017-08-09
2778,71075,2017,8,10,6.3,-1.0,,2017-08-10
2779,71075,2017,8,11,1.7,0.3,0.0,2017-08-11
2780,71075,2017,8,12,1.2,-1.5,2.0,2017-08-12
2781,71075,2017,8,13,3.9,-0.8,3.6,2017-08-13
2782,71075,2017,8,14,5.0,0.3,0.0,2017-08-14
2783,71075,2017,8,15,5.8,2.2,3.2,2017-08-15
2784,71075,2017,8,16,0.5,-0.5,145.6,2017-08-16
2785,71075,2017,8,17,-0.1,-0.9,52.0,2017-08-17
2786,71075,2017,8,18,-2.6,-4.3,40.0,2017-08-18
2787,71075,2017,8,19,-2.1,-7.0,2.2,2017-08-19
2788,71075,2017,8,20,1.2,-8.3,0.2,2017-08-20
2789,71075,2017,8,21,1.8,-6.3,0.0,2017-08-21
2790,71075,2017,8,22,4.2,-4.8,0.0,2017-08-22
2791,71075,2017,8,23,0.7,-1.4,0.0,2017-08-23
2792,71075,2017,8,24,2.3,-2.4,1.2,2017-08-24
2793,71075,2017,8,25,5.7,-10.2,0.0,2017-08-25
2794,71075,2017,8,26,4.6,-8.3,0.0,2017-08-26
2795,71075,2017,8,27,-1.8,-3.6,4.0,2017-08-27
2796,71075,2017,8,28,2.4,-7.1,3.4,2017-08-28
2797,71075,2017,8,29,1.5,-10.3,0.0,2017-08-29
2798,71075,2017,8,30,2.9,-9.9,0.0,2017-08-30
2799,71075,2017,8,31,2.9,-7.8,0.0,2017-08-31
2800,71075,2017,9,1,6.4,-9.5,0.0,2017-09-01
2801,71075,2017,9,2,8.1,-2.5,0.0,2017-09-02
2802,71075,2017,9,3,9.5,2.2,0.0,2017-09-03
2803,71075,2017,9,4,-1.4,-2.2,11.6,2017-09-04
2804,71075,2017,9,5,-1.8,-6.0,16.4,2017-09-05
2805,71075,2017,9,6,0.0,-5.9,23.6,2017-09-06
2806,71075,2017,9,7,-0.3,-4.0,2.8,2017-09-07
2807,71075,2017,9,8,0.2,-1.9,13.0,2017-09-08
2808,71075,2017,9,9,4.0,-4.1,1.6,2017-09-09
2809,71075,2017,9,10,7.3,-3.3,0.0,2017-09-10
2810,71075,2017,9,11,6.6,-1.5,0.0,2017-09-11
2811,71075,2017,9,12,11.0,3.1,0.0,2017-09-12
2812,71075,2017,9,13,6.0,4.5,3.8,2017-09-13
2813,71075,2017,9,14,0.4,-4.3,16.6,2017-09-14
2814,71075,2017,9,15,1.2,-3.5,8.6,2017-09-15
2815,71075,2017,9,16,4.8,-0.4,21.8,2017-09-16
2816,71075,2017,9,17,7.4,-5.0,4.2,2017-09-17
2817,71075,2017,9,18,7.8,-2.3,0.0,2017-09-18
2818,71075,2017,9,19,4.8,-2.3,14.4,2017-09-19
