,Year,Week,Resort,Visitors,Maximum temperature (Degree C),Minimum temperature (Degree C),Rainfall amount (millimetres)
96,2020,7,Mt. Baw Baw,1149,4.575510204081632,-1.1770833333333333,94.4
97,2020,8,Mt. Baw Baw,941,5.429166666666667,-1.0979166666666667,161.0
98,2020,9,Mt. Baw Baw,834,0.748936170212766,-4.189795918367347,286.2
99,2020,10,Mt. Baw Baw,0,3.5571428571428574,-0.4404255319148936,326.59999999999997
100,2020,11,Mt. Baw Baw,0,-1.0119047619047619,-3.8704545454545456,403.6
101,2020,12,Mt. Baw Baw,0,2.3926829268292686,-3.6214285714285714,92.0
102,2020,13,Mt. Baw Baw,0,5.492105263157894,-1.3390243902439023,16.8
103,2020,14,Mt. Baw Baw,0,8.48913043478261,1.4437499999999999,130.0
104,2020,15,Mt. Baw Baw,0,10.657142857142857,1.3857142857142857,0.0
105,2021,1,Mt. Baw Baw,334,2.382608695652174,-1.7177777777777776,760.8000000000001
106,2021,2,Mt. Baw Baw,941,2.1062499999999997,-2.216326530612245,126.2
107,2021,3,Mt. Baw Baw,2614,2.826530612244898,-1.5040816326530613,670.8
108,2021,4,Mt. Baw Baw,8833,1.2448979591836735,-2.4959183673469387,153.8
109,2021,5,Mt. Baw Baw,11910,2.6083333333333334,-2.836734693877551,30.4
110,2021,6,Mt. Baw Baw,2430,0.45111111111111113,-2.467391304347826,454.4
111,2021,7,Mt. Baw Baw,3,0.1804878048780488,-3.8666666666666667,403.8
112,2021,8,Mt. Baw Baw,3274,1.3488372093023255,-2.4488372093023254,312.6
113,2021,9,Mt. Baw Baw,1757,2.3510204081632655,-2.230612244897959,155.2
114,2021,10,Mt. Baw Baw,2392,2.592857142857143,-1.7186046511627908,149.2
115,2021,11,Mt. Baw Baw,1948,3.8063829787234043,-0.5739130434782609,263.8
116,2021,12,Mt. Baw Baw,0,2.126530612244898,-2.6122448979591835,168.0
117,2021,13,Mt. Baw Baw,0,6.369387755102041,1.153061224489796,567.0
118,2021,14,Mt. Baw Baw,176,5.491836734693878,-0.6448979591836734,54.400000000000006
119,2021,15,Mt. Baw Baw,475,5.314285714285715,-3.457142857142857,0.8
120,2022,1,Mt. Baw Baw,8513,0.6673469387755102,-3.504081632653061,111.2
121,2022,2,Mt. Baw Baw,6516,2.8734693877551023,-1.5530612244897959,347.0
122,2022,3,Mt. Baw Baw,5609,2.475510204081633,-2.095918367346939,262.2
123,2022,4,Mt. Baw Baw,10614,3.187755102040816,-2.5387755102040814,29.0
124,2022,5,Mt. Baw Baw,11092,0.44693877551020406,-3.489795918367347,94.0
125,2022,6,Mt. Baw Baw,9082,0.23265306122448984,-5.16875,177.8
126,2022,7,Mt. Baw Baw,8570,3.3040816326530615,-1.3551020408163266,193.2
127,2022,8,Mt. Baw Baw,7825,1.6387755102040815,-3.316326530612245,355.6
128,2022,9,Mt. Baw Baw,7810,2.038095238095238,-2.2166666666666663,585.6
129,2022,10,Mt. Baw Baw,6587,2.1953488372093024,-1.769767441860465,333.2
130,2022,11,Mt. Baw Baw,7939,0.9653061224489795,-3.2204081632653065,531.6
131,2022,12,Mt. Baw Baw,6782,5.542553191489362,-0.9191489361702129,246.20000000000002
132,2022,13,Mt. Baw Baw,4750,4.602380952380953,-2.9857142857142858,44.8
133,2022,14,Mt. Baw Baw,3009,3.0404761904761903,-1.6619047619047618,337.2
134,2022,15,Mt. Baw Baw,2262,4.8,-0.5000000000000001,13.8
135,2023,1,Mt. Baw Baw,1218,1.9608695652173913,-1.6212765957446809,405.8
136,2023,2,Mt. Baw Baw,2458,0.8785714285714287,-2.9571428571428573,222.20000000000002
137,2023,3,Mt. Baw Baw,7129,-0.08571428571428572,-2.638095238095238,256.6
138,2023,4,Mt. Baw Baw,17116,3.204081632653061,-1.225,301.4
139,2023,5,Mt. Baw Baw,14690,1.9854166666666666,-1.5510204081632653,330.0
140,2023,6,Mt. Baw Baw,9419,3.9306122448979592,-1.6795918367346938,25.4
141,2023,7,Mt. Baw Baw,10343,4.385714285714286,-2.022448979591837,48.8
142,2023,8,Mt. Baw Baw,10041,4.663265306122449,0.32653061224489793,165.8
143,2023,9,Mt. Baw Baw,7015,5.258333333333334,-0.5693877551020408,195.6
144,2023,10,Mt. Baw Baw,7481,2.6,-3.0367346938775515,102.4
145,2023,11,Mt. Baw Baw,4999,5.020408163265306,-1.163265306122449,242.6
146,2023,12,Mt. Baw Baw,3680,6.555319148936171,0.9021739130434783,186.4
147,2023,13,Mt. Baw Baw,1265,8.584999999999999,-0.7878048780487804,96.6
148,2023,14,Mt. Baw Baw,0,7.097142857142857,-0.537142857142857,240.8
149,2023,15,Mt. Baw Baw,0,14.26,8.08,0.0
150,2024,1,Mt. Baw Baw,1558,2.8387755102040817,-2.3448979591836734,449.2
151,2024,2,Mt. Baw Baw,1546,1.76734693877551,-4.3244897959183675,33.0
152,2024,3,Mt. Baw Baw,1695,2.0673469387755103,-1.969387755102041,115.0
153,2024,4,Mt. Baw Baw,4457,2.0553191489361704,-4.2306122448979595,196.6
154,2024,5,Mt. Baw Baw,11079,3.4755555555555557,-1.0133333333333334,208.8
155,2024,6,Mt. Baw Baw,9830,-0.2276595744680851,-4.022448979591837,412.8
156,2024,7,Mt. Baw Baw,9456,1.9808510638297872,-1.9043478260869564,352.4
157,2024,8,Mt. Baw Baw,8513,2.272340425531915,-4.606521739130435,111.8
158,2024,9,Mt. Baw Baw,9635,3.1042553191489364,-2.2808510638297874,21.2
159,2024,10,Mt. Baw Baw,8121,6.84375,1.6978723404255318,120.80000000000001
160,2024,11,Mt. Baw Baw,5977,5.33125,0.6872340425531914,237.79999999999998
161,2024,12,Mt. Baw Baw,3597,4.3,0.24897959183673468,434.59999999999997
162,2024,13,Mt. Baw Baw,1500,6.597916666666666,-0.08367346938775509,254.20000000000002
163,2024,14,Mt. Baw Baw,0,6.491836734693878,-0.30416666666666664,165.0
164,2024,15,Mt. Baw Baw,0,1.4714285714285715,-6.442857142857143,66.8
165,2014,1,Mt. Stirling,60,5.022448979591837,-0.33877551020408164,236.2
166,2014,2,Mt. Stirling,42,4.683673469387755,-0.4408163265306122,125.39999999999999
167,2014,3,Mt. Stirling,30,0.3081632653061224,-2.5530612244897957,634.1999999999999
168,2014,4,Mt. Stirling,165,1.236734693877551,-2.363265306122449,301.2
169,2014,5,Mt. Stirling,645,-0.2,-3.516326530612245,257.0
170,2014,6,Mt. Stirling,1316,0.14897959183673468,-3.6857142857142855,244.0
171,2014,7,Mt. Stirling,684,3.0367346938775515,-1.9428571428571428,104.2
172,2014,8,Mt. Stirling,1250,0.8142857142857143,-2.9562500000000003,379.0
173,2014,9,Mt. Stirling,1280,2.6367346938775507,-3.26734693877551,25.8
174,2014,10,Mt. Stirling,1653,3.3877551020408165,-4.757142857142857,46.4
175,2014,11,Mt. Stirling,902,4.763265306122449,-1.2224489795918367,162.6
176,2014,12,Mt. Stirling,847,6.771428571428571,-0.4387755102040816,74.4
177,2014,13,Mt. Stirling,522,4.161224489795918,-2.522448979591837,153.0
178,2014,14,Mt. Stirling,267,5.793877551020408,0.05102040816326534,326.2
179,2014,15,Mt. Stirling,66,8.028571428571428,0.5571428571428572,0.0
180,2015,1,Mt. Stirling,39,7.557777777777778,-0.6391304347826087,67.8
181,2015,2,Mt. Stirling,63,3.2190476190476187,-1.576190476190476,241.0
182,2015,3,Mt. Stirling,51,7.2714285714285705,-0.5142857142857143,29.6
183,2015,4,Mt. Stirling,27,1.9976190476190478,-4.15,55.6
184,2015,5,Mt. Stirling,69,1.2666666666666668,-3.1891304347826086,313.6
185,2015,6,Mt. Stirling,240,-0.5857142857142857,-5.210204081632654,184.4
186,2015,7,Mt. Stirling,714,0.4979591836734694,-2.3591836734693876,330.2
187,2015,8,Mt. Stirling,558,0.40816326530612246,-3.4591836734693877,324.6
188,2015,9,Mt. Stirling,1218,-0.236734693877551,-5.087755102040816,136.8
189,2015,10,Mt. Stirling,1371,1.120408163265306,-2.6714285714285717,101.6
190,2015,11,Mt. Stirling,1146,3.83265306122449,-1.9938775510204083,123.6
191,2015,12,Mt. Stirling,744,2.210204081632653,-2.816326530612245,337.2
192,2015,13,Mt. Stirling,618,3.9204545454545454,-2.062222222222222,105.6
193,2015,14,Mt. Stirling,429,8.083333333333334,0.028571428571428553,74.2
194,2015,15,Mt. Stirling,249,3.516666666666667,2.5666666666666664,60.6
195,2016,1,Mt. Stirling,39,5.130612244897959,-0.9666666666666667,477.0
196,2016,2,Mt. Stirling,36,3.659183673469388,0.6959183673469388,558.6
197,2016,3,Mt. Stirling,186,-0.6061224489795918,-4.573469387755102,206.4
198,2016,4,Mt. Stirling,480,1.3551020408163266,-2.4,192.2
199,2016,5,Mt. Stirling,711,1.0816326530612246,-1.3387755102040815,358.0
200,2016,6,Mt. Stirling,840,5.276595744680851,-1.279591836734694,131.0
201,2016,7,Mt. Stirling,694,0.9346938775510205,-2.7918367346938777,788.8
202,2016,8,Mt. Stirling,1326,0.9152173913043479,-2.3425531914893614,252.6
203,2016,9,Mt. Stirling,1122,2.2452380952380953,-3.1666666666666665,128.4
204,2016,10,Mt. Stirling,1149,3.527272727272727,-1.788095238095238,59.4
205,2016,11,Mt. Stirling,708,1.9124999999999999,-1.926530612244898,333.2
206,2016,12,Mt. Stirling,735,2.722448979591837,-2.722448979591837,359.59999999999997
207,2016,13,Mt. Stirling,198,7.248936170212766,0.5693877551020409,300.4
208,2016,14,Mt. Stirling,102,5.740816326530613,1.383673469387755,413.59999999999997
209,2016,15,Mt. Stirling,87,1.1285714285714286,-2.4166666666666665,91.4
210,2017,1,Mt. Stirling,96,7.295918367346939,0.025000000000000005,9.4
211,2017,2,Mt. Stirling,33,7.191836734693877,-0.046938775510204096,4.199999999999999
212,2017,3,Mt. Stirling,72,0.636734693877551,-3.353061224489796,45.2
213,2017,4,Mt. Stirling,132,1.9040816326530612,-3.30625,323.2
214,2017,5,Mt. Stirling,162,-0.13673469387755102,-4.0,89.2
215,2017,6,Mt. Stirling,387,-0.04489795918367345,-3.595833333333333,218.20000000000002
216,2017,7,Mt. Stirling,962,1.0040816326530613,-3.4571428571428573,171.2
217,2017,8,Mt. Stirling,702,2.6795918367346943,-2.787755102040816,100.6
218,2017,9,Mt. Stirling,1176,0.5875,-2.787755102040816,354.4
219,2017,10,Mt. Stirling,1317,2.276595744680851,-0.5244897959183673,702.4
220,2017,11,Mt. Stirling,1452,-0.12448979591836734,-4.6387755102040815,244.2
221,2017,12,Mt. Stirling,936,0.9530612244897958,-5.904081632653061,95.4
222,2017,13,Mt. Stirling,897,1.8326530612244898,-3.183673469387755,202.4
223,2017,14,Mt. Stirling,1023,3.0979591836734697,-1.9122448979591837,248.0
224,2017,15,Mt. Stirling,408,1.3142857142857143,-4.714285714285714,60.4
225,2018,1,Mt. Stirling,192,2.1061224489795918,-1.3102040816326532,499.4
226,2018,2,Mt. Stirling,180,0.45208333333333334,-3.86875,450.2
227,2018,3,Mt. Stirling,339,2.693877551020408,-2.9877551020408166,37.4
228,2018,4,Mt. Stirling,474,3.0408163265306123,-1.9437499999999999,110.6
229,2018,5,Mt. Stirling,810,0.9510204081632654,-4.146938775510204,282.59999999999997
230,2018,6,Mt. Stirling,1086,0.74375,-4.377551020408164,97.4
231,2018,7,Mt. Stirling,1269,0.5224489795918368,-4.002083333333333,122.8
232,2018,8,Mt. Stirling,1128,1.9416666666666667,-2.4816326530612245,242.79999999999998
233,2018,9,Mt. Stirling,1719,1.2232558139534884,-3.2097560975609754,367.4
234,2018,10,Mt. Stirling,1860,0.6510204081632653,-3.0500000000000003,246.0
235,2018,11,Mt. Stirling,1452,-0.4489795918367347,-4.7239130434782615,242.2
236,2018,12,Mt. Stirling,1374,2.079591836734694,-4.622916666666667,45.800000000000004
237,2018,13,Mt. Stirling,913,3.0085106382978726,-2.6688888888888886,270.6
238,2018,14,Mt. Stirling,498,7.420408163265306,0.032653061224489736,12.0
239,2018,15,Mt. Stirling,258,5.5,3.1285714285714286,0.0
240,2019,1,Mt. Stirling,237,4.784210526315789,1.3439024390243903,488.0
241,2019,2,Mt. Stirling,81,1.1162790697674418,-4.286046511627907,83.0
242,2019,3,Mt. Stirling,126,5.446938775510204,-1.6204081632653062,33.6
243,2019,4,Mt. Stirling,63,3.725,-2.179591836734694,201.6
244,2019,5,Mt. Stirling,123,0.9041666666666667,-2.0020408163265304,528.0
245,2019,6,Mt. Stirling,318,1.0,-3.577083333333333,266.0
246,2019,7,Mt. Stirling,675,2.989795918367347,-2.0541666666666667,97.0
247,2019,8,Mt. Stirling,858,4.333333333333333,-2.257142857142857,52.0
248,2019,9,Mt. Stirling,924,0.7693877551020407,-3.6795918367346943,256.2
249,2019,10,Mt. Stirling,909,1.3265306122448979,-4.069387755102041,219.6
250,2019,11,Mt. Stirling,1455,2.7591836734693875,-3.4693877551020407,321.0
251,2019,12,Mt. Stirling,1542,3.589795918367347,-4.2326530612244895,73.6
252,2019,13,Mt. Stirling,1083,5.457142857142856,-0.03750000000000001,212.2
253,2019,14,Mt. Stirling,522,4.972916666666666,-2.4551020408163264,198.0
254,2019,15,Mt. Stirling,363,7.614285714285714,1.9142857142857141,3.2
255,2020,1,Mt. Stirling,126,5.057142857142857,-0.5625,320.2
256,2020,2,Mt. Stirling,27,3.302380952380952,-0.3142857142857143,442.4
257,2020,3,Mt. Stirling,24,3.0023809523809524,-2.657142857142857,137.2
258,2020,4,Mt. Stirling,93,1.9725000000000001,-2.5341463414634147,265.4
259,2020,5,Mt. Stirling,171,2.8454545454545457,-1.2733333333333332,230.79999999999998
260,2020,6,Mt. Stirling,438,2.4816326530612245,-2.68125,148.4
261,2020,7,Mt. Stirling,108,4.575510204081632,-1.1770833333333333,94.4
262,2020,8,Mt. Stirling,127,5.429166666666667,-1.0979166666666667,161.0
263,2020,9,Mt. Stirling,98,0.748936170212766,-4.189795918367347,286.2
264,2020,10,Mt. Stirling,9,3.5571428571428574,-0.4404255319148936,326.59999999999997
265,2020,11,Mt. Stirling,0,-1.0119047619047619,-3.8704545454545456,403.6
266,2020,12,Mt. Stirling,0,2.3926829268292686,-3.6214285714285714,92.0
267,2020,13,Mt. Stirling,0,5.492105263157894,-1.3390243902439023,16.8
268,2020,14,Mt. Stirling,0,8.48913043478261,1.4437499999999999,130.0
269,2020,15,Mt. Stirling,0,10.657142857142857,1.3857142857142857,0.0
270,2021,1,Mt. Stirling,216,2.382608695652174,-1.7177777777777776,760.8000000000001
271,2021,2,Mt. Stirling,69,2.1062499999999997,-2.216326530612245,126.2
272,2021,3,Mt. Stirling,99,2.826530612244898,-1.5040816326530613,670.8
273,2021,4,Mt. Stirling,315,1.2448979591836735,-2.4959183673469387,153.8
274,2021,5,Mt. Stirling,697,2.6083333333333334,-2.836734693877551,30.4
275,2021,6,Mt. Stirling,103,0.45111111111111113,-2.467391304347826,454.4
276,2021,7,Mt. Stirling,0,0.1804878048780488,-3.8666666666666667,403.8
277,2021,8,Mt. Stirling,468,1.3488372093023255,-2.4488372093023254,312.6
278,2021,9,Mt. Stirling,774,2.3510204081632655,-2.230612244897959,155.2
279,2021,10,Mt. Stirling,834,2.592857142857143,-1.7186046511627908,149.2
280,2021,11,Mt. Stirling,0,3.8063829787234043,-0.5739130434782609,263.8
281,2021,12,Mt. Stirling,0,2.126530612244898,-2.6122448979591835,168.0
282,2021,13,Mt. Stirling,15,6.369387755102041,1.153061224489796,567.0
283,2021,14,Mt. Stirling,33,5.491836734693878,-0.6448979591836734,54.400000000000006
284,2021,15,Mt. Stirling,618,5.314285714285715,-3.457142857142857,0.8
285,2022,1,Mt. Stirling,1038,0.6673469387755102,-3.504081632653061,111.2
286,2022,2,Mt. Stirling,711,2.8734693877551023,-1.5530612244897959,347.0
287,2022,3,Mt. Stirling,426,2.475510204081633,-2.095918367346939,262.2
288,2022,4,Mt. Stirling,984,3.187755102040816,-2.5387755102040814,29.0
289,2022,5,Mt. Stirling,1071,0.44693877551020406,-3.489795918367347,94.0
290,2022,6,Mt. Stirling,660,0.23265306122448984,-5.16875,177.8
291,2022,7,Mt. Stirling,1158,3.3040816326530615,-1.3551020408163266,193.2
292,2022,8,Mt. Stirling,1032,1.6387755102040815,-3.316326530612245,355.6
293,2022,9,Mt. Stirling,819,2.038095238095238,-2.2166666666666663,585.6
294,2022,10,Mt. Stirling,1314,2.1953488372093024,-1.769767441860465,333.2
295,2022,11,Mt. Stirling,1577,0.9653061224489795,-3.2204081632653065,531.6
296,2022,12,Mt. Stirling,975,5.542553191489362,-0.9191489361702129,246.20000000000002
297,2022,13,Mt. Stirling,609,4.602380952380953,-2.9857142857142858,44.8
298,2022,14,Mt. Stirling,357,3.0404761904761903,-1.6619047619047618,337.2
299,2022,15,Mt. Stirling,85,4.8,-0.5000000000000001,13.8
300,2023,1,Mt. Stirling,54,1.9608695652173913,-1.6212765957446809,405.8
301,2023,2,Mt. Stirling,82,0.8785714285714287,-2.9571428571428573,222.20000000000002
302,2023,3,Mt. Stirling,422,-0.08571428571428572,-2.638095238095238,256.6
303,2023,4,Mt. Stirling,710,3.204081632653061,-1.225,301.4
304,2023,5,Mt. Stirling,678,1.9854166666666666,-1.5510204081632653,330.0
305,2023,6,Mt. Stirling,844,3.9306122448979592,-1.6795918367346938,25.4
306,2023,7,Mt. Stirling,589,4.385714285714286,-2.022448979591837,48.8
307,2023,8,Mt. Stirling,673,4.663265306122449,0.32653061224489793,165.8
308,2023,9,Mt. Stirling,1387,5.258333333333334,-0.5693877551020408,195.6
309,2023,10,Mt. Stirling,1495,2.6,-3.0367346938775515,102.4
310,2023,11,Mt. Stirling,2050,5.020408163265306,-1.163265306122449,242.6
311,2023,12,Mt. Stirling,906,6.555319148936171,0.9021739130434783,186.4
312,2023,13,Mt. Stirling,1069,8.584999999999999,-0.7878048780487804,96.6
313,2023,14,Mt. Stirling,0,7.097142857142857,-0.537142857142857,240.8
314,2023,15,Mt. Stirling,0,14.26,8.08,0.0
315,2024,1,Mt. Stirling,0,2.8387755102040817,-2.3448979591836734,449.2
316,2024,2,Mt. Stirling,12,1.76734693877551,-4.3244897959183675,33.0
317,2024,3,Mt. Stirling,106,2.0673469387755103,-1.969387755102041,115.0
318,2024,4,Mt. Stirling,122,2.0553191489361704,-4.2306122448979595,196.6
319,2024,5,Mt. Stirling,426,3.4755555555555557,-1.0133333333333334,208.8
320,2024,6,Mt. Stirling,122,-0.2276595744680851,-4.022448979591837,412.8
321,2024,7,Mt. Stirling,1403,1.9808510638297872,-1.9043478260869564,352.4
322,2024,8,Mt. Stirling,1596,2.272340425531915,-4.606521739130435,111.8
323,2024,9,Mt. Stirling,2097,3.1042553191489364,-2.2808510638297874,21.2
324,2024,10,Mt. Stirling,1632,6.84375,1.6978723404255318,120.80000000000001
325,2024,11,Mt. Stirling,1416,5.33125,0.6872340425531914,237.79999999999998
326,2024,12,Mt. Stirling,701,4.3,0.24897959183673468,434.59999999999997
327,2024,13,Mt. Stirling,213,6.597916666666666,-0.08367346938775509,254.20000000000002
328,2024,14,Mt. Stirling,0,6.491836734693878,-0.30416666666666664,165.0
329,2024,15,Mt. Stirling,0,1.4714285714285715,-6.442857142857143,66.8
330,2014,1,Mt. Hotham,3483,5.022448979591837,-0.33877551020408164,236.2
331,2014,2,Mt. Hotham,1253,4.683673469387755,-0.4408163265306122,125.39999999999999
332,2014,3,Mt. Hotham,2992,0.3081632653061224,-2.5530612244897957,634.1999999999999
